Gene Name,HNOX_1,HNOX_2,HNOX_3,WT_1,WT_2,WT_3
Pden_3227,0,0,0,0,0,0
Pden_3283,0,0,0,0,0,0
Pden_3335,0,0,0,0,0,0
Pden_3351,0,0,0,0,0,0
Pden_3389,0,0,0,0,0,0
Pden_3391,0,0,0,0,0,0
Pden_3420,0,0,0,0,0,0
Pden_3437,0,0,0,0,0,0
Pden_3454,0,0,0,0,0,0
Pden_3473,0,0,0,0,0,0
Pden_3479,0,0,0,0,0,0
Pden_3497,0,0,0,0,0,0
Pden_3515,0,0,0,0,0,0
Pden_3529,0,0,0,0,0,0
Pden_3540,0,0,0,0,0,0
Pden_3543,0,0,0,0,0,0
Pden_3574,0,0,0,0,0,0
Pden_3578,0,0,0,0,0,0
Pden_3586,0,0,0,0,0,0
Pden_3588,0,0,0,0,0,0
Pden_3599,0,0,0,0,0,0
Pden_3611,0,0,0,0,0,0
Pden_3615,0,0,0,0,0,0
Pden_3622,0,0,0,0,0,0
Pden_3624,0,0,0,0,0,0
Pden_3625,0,0,0,0,0,0
Pden_3626,0,0,0,0,0,0
Pden_3634,0,0,0,0,0,0
Pden_3640,0,0,0,0,0,0
Pden_3656,0,0,0,0,0,0
Pden_3665,0,0,0,0,0,0
Pden_3686,0,0,0,0,0,0
Pden_3691,0,0,0,0,0,0
Pden_3694,0,0,0,0,0,0
Pden_3702,0,0,0,0,0,0
Pden_3707,0,0,0,0,0,0
Pden_3712,0,0,0,0,0,0
Pden_3746,0,0,0,0,0,0
Pden_3770,0,0,0,0,0,0
Pden_3774,0,0,0,0,0,0
Pden_3788,0,0,0,0,0,0
Pden_3797,0,0,0,0,0,0
Pden_3808,0,0,0,0,0,0
Pden_3824,0,0,0,0,0,0
Pden_3826,0,0,0,0,0,0
Pden_3841,0,0,0,0,0,0
Pden_3874,0,0,0,0,0,0
Pden_3877,0,0,0,0,0,0
Pden_3880,0,0,0,0,0,0
trmD,0,0,0,0,0,0
Pden_3888,0,0,0,0,0,0
Pden_3897,0,0,0,0,0,0
Pden_3900,0,0,0,0,0,0
Pden_3902,0,0,0,0,0,0
Pden_3913,0,0,0,0,0,0
Pden_3915,0,0,0,0,0,0
Pden_3928,0,0,0,0,0,0
Pden_3940,0,0,0,0,0,0
Pden_3946,0,0,0,0,0,0
Pden_3954,0,0,0,0,0,0
rsmI,0,0,0,0,0,0
Pden_3988,0,0,0,0,0,0
Pden_3989,0,0,0,0,0,0
Pden_3998,0,0,0,0,0,0
Pden_4001,0,0,0,0,0,0
Pden_4010,0,0,0,0,0,0
Pden_4015,0,0,0,0,0,0
Pden_4026,0,0,0,0,0,0
xseA,0,0,0,0,0,0
Pden_4033,0,0,0,0,0,0
Pden_4035,0,0,0,0,0,0
Pden_4043,0,0,0,0,0,0
Pden_4045,0,0,0,0,0,0
Pden_4049,0,0,0,0,0,0
Pden_4052,0,0,0,0,0,0
selO,0,0,0,0,0,0
Pden_4070,0,0,0,0,0,0
Pden_4071,0,0,0,0,0,0
dnaG,0,0,0,0,0,0
Pden_4079,0,0,0,0,0,0
Pden_4093,0,0,0,0,0,0
Pden_4099,0,0,0,0,0,0
Pden_4117,0,0,0,0,0,0
Pden_4118,0,0,0,0,0,0
hflX,0,0,0,0,0,0
Pden_4126,0,0,0,0,0,0
